"SetID" "P.value" "N.Marker.All" "N.Marker.Test" "MAC" "m" "Method.bin" "MAP"
"CYP2D6*49" 7.63073688730465e-13 4 3 5656 2199 "UA" -1
"CYP2D6*51" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*52" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*53" 0.0251975463858873 2 1 4 3 "ER" 4.33918218661188e-05
"CYP2D6*54" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*55" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*58" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*59" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*64" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*65" 1.31937605411511e-13 4 4 7466 2621 "UA" -1
"CYP2D6*69" 1.31937605411511e-13 4 4 7466 2621 "UA" -1
"CYP2D6*70" 2.55753584714984e-52 2 2 4463 1644 "UA" -1
"CYP2D6*72" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*73" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*74" 0.000600379965617553 1 1 348 308 "QA" -1
"CYP2D6*82" 0.000529516818646103 3 3 1052 316 "QA" -1
"CYP2D6*84" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*85" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*87" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*88" 2.55753584714984e-52 2 2 4463 1644 "UA" -1
"CYP2D6*91" 1.31969187948538e-19 1 1 1810 1394 "UA" -1
"CYP2D6*94" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*95" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*98" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*99" 7.63149434006965e-13 2 2 3424 2192 "UA" -1
"CYP2D6*102" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*103" 7.51132864013479e-19 3 2 4041 2368 "UA" -1
"CYP2D6*104" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*105" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*108" 1 1 0 0 0 "NA" 1
"CYP2D6*111" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*114" 1.21156271927322e-13 3 3 5234 2621 "UA" -1
"CYP2D6*117" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*121" 7.51132864013479e-19 5 2 4041 2368 "UA" -1
"CYP2D6*122" 1 1 0 0 0 "NA" 1
"CYP2D6*123" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*125" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*126" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*127" 1 2 0 0 0 "NA" 1
"CYP2D6*128" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*129" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*131" 3.6295431796371e-21 1 1 21 16 "QA" -1
"CYP2D6*132" 7.63149434006965e-13 2 2 3424 2192 "UA" -1
"CYP2D6*133" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*135" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*136" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*138" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2E1*7" 9.22170856548097e-18 1 1 2290 1672 "UA" -1
"CYP3A4*1B" 6.08733697547741e-10 1 1 1159 755 "UA" -1
"CYP3A4*16" 0.111183358335126 1 1 5 5 "ER" 8.15864083839365e-08
"CYP3A4*23" 9.48419121016286e-10 2 2 3148 1483 "UA" -1
"CYP3A4*24" 9.48419121016286e-10 2 2 3148 1483 "UA" -1
"CYP3A5*3" 8.17798724192975e-18 1 1 1909 1341 "UA" -1
"CYP4F2*2" 4.15674768579246e-24 1 1 885 787 "UA" -1
"CYP4F2*3" 6.71422774543127e-69 1 1 1372 1106 "UA" -1
"DPYD*5" 2.51311567446774e-05 1 1 943 829 "UA" -1
"DPYD*6" 0.0262574198965221 1 1 223 214 "QA" -1
"DPYD*9A" 4.96517396456704e-18 1 1 1303 1101 "UA" -1
"DPYD*9B" 4.96517396456704e-18 1 1 1303 1101 "UA" -1
"GSTP1*2" 1.8194658550167e-17 1 1 1783 1433 "UA" -1
"GSTP1*3" 1.8194658550167e-17 1 1 1783 1433 "UA" -1
"NAT2*6" 0.157770524314329 1 1 1379 1169 "UA" -1
"NAT2*7" 5.2977670439362e-22 1 1 452 413 "QA" -1
"NAT2*12" 3.61139837168863e-22 1 1 1617 1275 "UA" -1
"NAT2*13" 4.56553983201005e-05 1 1 2116 1618 "UA" -1
"SLCO1B1*1B" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*5" 1.21715318240609e-05 1 1 439 410 "QA" -1
"SLCO1B1*14" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*15" 4.59406703789966e-06 2 2 2469 1746 "UA" -1
"SLCO1B1*17" 2.39855607092558e-13 3 3 2783 1813 "UA" -1
"SLCO1B1*18" 9.6019494892349e-13 2 2 4015 1743 "UA" -1
"SLCO1B1*19" 4.50931657334816e-15 2 2 2245 1652 "UA" -1
"SLCO1B1*20" 4.52546900272384e-15 3 3 4429 2475 "UA" -1
"SLCO1B1*21" 5.43945728179254e-12 3 3 4483 2464 "UA" -1
"SLCO1B1*22" 9.74085845661522e-14 1 1 260 252 "QA" -1
"SLCO1B1*24" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*25" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*27" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*28" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*29" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*30" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*31" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*32" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*33" 5.18458481339142e-10 1 1 2030 1548 "UA" -1
"SLCO1B1*35" 4.51911567356771e-15 2 2 2290 1693 "UA" -1
"UGT1A1*6" 0.079953867144828 1 1 175 166 "QA" -1
"VKORC1*2" 6.10506519036393e-13 2 2 3777 1404 "UA" -1
"VKORC1*3" 1.68211902298998e-41 1 1 2316 1663 "UA" -1
"VKORC1*4" 6.17831003674971e-06 1 1 469 430 "QA" -1
