"SetID" "P.value" "N.Marker.All" "N.Marker.Test" "MAC" "m" "Method.bin" "MAP"
"CYP2C9*3" 3.21000266421367e-88 2 2 748 345 "QA" -1
"CYP3A4*23" 4.98308927003204e-28 1 1 2049 1462 "UA" -1
"CYP2D6*53" 0.0418622223538415 2 1 4 3 "ER" 0.000167780456244185
"CYP2A6*18" 2.9519000257086e-127 1 1 211 138 "QA" -1
"CYP2D6*39" 1.92391087189035e-10 2 2 4463 1644 "UA" -1
"CYP1A1*2A" 1.64683838220115e-32 1 1 1697 1344 "UA" -1
"CYP3A4*24" 4.98308927003204e-28 1 1 2049 1462 "UA" -1
"NAT2*12" 2.9706231291502e-08 1 1 1682 1308 "UA" -1
"SLCO1B1*27" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"SLCO1B1*30" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"NAT2*11" 1.08550951453862e-26 1 1 1343 1100 "UA" -1
"CYP1A2*13" 5.37140179169908e-31 1 1 34 34 "QA" -1
"CYP2B6*37" 0.511639631728287 2 1 1706 1405 "UA" -1
"DPYD*9A" 3.7632109243375e-06 1 1 1445 1172 "UA" -1
"CYP2D6*47" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"NAT1*30" 0.0393912273593826 1 1 86 83 "QA" -1
"SLCO1B1*18" 4.93487949702569e-14 2 2 4184 1807 "UA" -1
"SLCO1B1*19" 3.8835160413368e-11 2 2 2307 1687 "UA" -1
"GSTM1*3" 0.0128981580618555 1 1 2454 1488 "UA" -1
"UGT1A1*60" 4.83115629817618e-27 1 1 2334 1715 "UA" -1
"POR*32" 7.94013503191595e-08 1 1 1492 1279 "UA" -1
"CYP2D6*87" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"UGT1A4*7" 3.20548743104609e-09 6 6 4605 751 "UA" -1
"CYP1A2*1K" 2.78996744818016e-07 2 2 2375 1776 "UA" -1
"CYP2B6*19" 0.511639631728287 2 1 1706 1405 "UA" -1
"SLC15A2*2" 8.99566746772818e-11 3 3 7503 1855 "UA" -1
"SLCO1B1*33" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"CYP2D6*95" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP4B1*2" 1.14122935515924e-12 1 1 679 605 "UA" -1
"UGT2B15*5" 3.35810443665232e-28 1 1 1863 1408 "UA" -1
"CYP2C8*3" 0.00220034230114918 2 2 485 239 "QA" -1
"CYP1A2*17" 3.67515848356697e-12 2 2 3231 2171 "UA" -1
"CYP1A1*2B" 1.64683838220115e-32 1 1 1697 1344 "UA" -1
"POR*28" 7.94013503191595e-08 1 1 1492 1279 "UA" -1
"CYP2D6*132" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP2B6*36" 4.59406703789966e-06 3 2 1807 1472 "UA" -1
"CYP2D6*122" 1 1 0 0 0 "NA" 1
"SULT1A1*3" 1 1 0 0 0 "NA" 1
"NAT2*6" 0.00229726677286105 1 1 1399 1188 "UA" -1
"CYP2A6*28" 7.87179730556351e-30 2 1 77 70 "QA" -1
"UGT2B15*2" 2.06840766758564e-21 1 1 2539 1910 "UA" -1
"CYP4F2*3" 7.53182872155329e-57 1 1 1429 1139 "UA" -1
"CYP3A7*2" 0.040083716190652 1 1 1801 1352 "UA" -1
"SLCO1B1*1B" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"NAT2*7" 3.37926390809525e-19 1 1 471 431 "QA" -1
"CYP2B6*35" 3.55350854155727e-05 1 1 101 97 "QA" -1
"CYP1A2*21" 0.0142253496438464 1 1 2018 1589 "UA" -1
"CYP2D6*121" 1 3 0 0 0 "NA" 1
"CYP2C19*3" 5.57801048624682e-24 1 1 109 106 "QA" -1
"SLCO1B1*22" 5.92746835108648e-11 1 1 269 261 "QA" -1
"CYP2D6*103" 1 1 0 0 0 "NA" 1
"CYP2D6*2" 0.00583845768707991 2 2 4183 2439 "UA" -1
"UGT2B7*2" 0.0138074386348353 1 1 1827 1483 "UA" -1
"CYP2D6*54" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP2B6*22" 3.55350854155727e-05 1 1 101 97 "QA" -1
"CYP1B1*6" 2.6905165157608e-12 2 2 4116 1607 "UA" -1
"CYP2E1*5" 5.81212902250883e-07 2 2 765 392 "QA" -1
"CYP2W1*6" 2.65034657283426e-15 1 1 920 805 "UA" -1
"SLCO1B1*15" 6.41248787403015e-09 2 2 2585 1810 "UA" -1
"UGT1A4*3B" 7.19632783736614e-12 1 1 796 708 "UA" -1
"SLCO1B1*32" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"CYP2W1*2" 0.578865718640351 1 1 322 307 "QA" -1
"NAT1*11" 0.0399145377842135 5 5 428 84 "QA" -1
"SLC22A2*3" 5.48843197572195e-07 1 1 1602 1252 "UA" -1
"CYP1B1*5" 8.43316576011523e-12 1 1 2089 1602 "UA" -1
"IFNL3*S2" 3.79137699946007e-06 1 1 675 622 "UA" -1
"CYP2B6*13" 0.511639631728287 2 1 1706 1405 "UA" -1
"POR*40" 7.94013503191595e-08 1 1 1492 1279 "UA" -1
"CYP2D6*94" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"SULT1A1*2" 1 1 0 0 0 "NA" 1
"CYP2B6*38" 0.511639631728287 2 1 1706 1405 "UA" -1
"CYP2D6*4" 5.18827122770836e-08 1 1 467 414 "QA" -1
"SLCO1B1*29" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"IFNL3*S1" 4.11859603109399e-24 1 1 1810 1380 "UA" -1
"CYP2D6*52" 2.0942757816002e-20 3 3 3577 947 "UA" -1
"SLCO1B1*31" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"SLCO1B1*24" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"UGT2B15*4" 3.35810443665232e-28 1 1 1863 1408 "UA" -1
"VKORC1*4" 1.78569018477206e-08 1 1 470 431 "QA" -1
"CYP2D6*64" 7.42379621355185e-20 5 5 6012 982 "UA" -1
"SLCO2B1*S464F" 3.85904663210204e-80 1 1 1144 917 "UA" -1
"SLCO1B1*17" 4.84557158120076e-12 3 3 2910 1880 "UA" -1
"SLCO1B1*28" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"CYP1B1*2" 2.6905165157608e-12 2 2 4116 1607 "UA" -1
"CYP2D6*127" 1 2 0 0 0 "NA" 1
"NUDT15*3" 0.314451678694241 1 1 209 196 "QA" -1
"POR*36" 7.94013503191595e-08 1 1 1492 1279 "UA" -1
"DPYD*5" 1.03814117644974e-09 1 1 947 833 "UA" -1
"CYP2D6*37" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP3A4*1B" 0.0804697897228354 1 1 1224 788 "UA" -1
"UGT2B7*3" 0.00403760416898139 1 1 150 144 "QA" -1
"UGT2B15*7" 3.35810443665232e-28 1 1 1863 1408 "UA" -1
"CYP2D6*65" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP2C9*18" 3.21000266421367e-88 2 2 748 345 "QA" -1
"CYP2F1*3" 0.230667441018734 3 2 2486 1678 "UA" -1
"CYP2B6*26" 0.511639631728287 2 1 1706 1405 "UA" -1
"CYP2B6*5" 0.000427770553484398 1 1 272 264 "QA" -1
"CYP2C19*2" 1 2 2 2421 1065 "UA" -1
"CYP2D6*49" 4.31324174192074e-21 2 1 1193 938 "UA" -1
"NAT2*5" 1.22950852712854e-29 1 1 1467 1181 "UA" -1
"CYP2E1*7" 1.84469807670943e-08 1 1 2365 1714 "UA" -1
"SLCO1B1*21" 3.80948161904371e-10 3 3 4623 2533 "UA" -1
"CYP2D6*99" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"DPYD*S11" 8.25218439865971e-09 1 1 898 794 "UA" -1
"CYP2D6*82" 7.28127765070585e-06 3 3 1052 316 "QA" -1
"VKORC1*3" 1.0409123284002e-31 1 1 2390 1702 "UA" -1
"VKORC1*2" 7.99028338472923e-22 2 2 3609 1251 "UA" -1
"CYP2C19*35" 0.826854427504787 1 1 1228 1064 "UA" -1
"DPYD*S12" 6.13004458934672e-06 1 1 1831 1495 "UA" -1
"CYP4B1*5" 6.44779999294302e-27 1 1 1357 1107 "UA" -1
"POR*33" 7.94013503191595e-08 1 1 1492 1279 "UA" -1
"CYP1B1*7" 2.6905165157608e-12 2 2 4116 1607 "UA" -1
"CYP2F1*2" 7.17416188393951e-50 1 1 1611 1284 "UA" -1
"NUDT15*2" 0.0768926504329782 2 2 292 217 "QA" -1
"SLCO1B1*35" 3.88648388128049e-11 2 2 2415 1760 "UA" -1
"CYP2D6*72" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP3A5*3" 1.68170079908187e-30 1 1 1909 1341 "UA" -1
